County,County Code,avg_land_cover,Year,heat_wave_days,Deaths,Population,Crude Rate,Rate
Dallas,1047.0,64.23155598,2010.0,23,41.0,43820.0,93.6,93.56458238247374
DeKalb,1049.0,57.23373963241194,2008.0,13,73.0,70228.0,103.9,103.94714358945151
DeKalb,1049.0,57.16949383,2009.0,35,90.0,70864.0,127.0,127.00383833822532
DeKalb,1049.0,57.18440584,2010.0,15,83.0,71109.0,116.7,116.72221519076348
Elmore,1051.0,51.3766728631908,2008.0,7,59.0,77698.0,75.9,75.93503050271565
Elmore,1051.0,51.22284904,2009.0,30,62.0,78632.0,78.8,78.84830603316716
Elmore,1051.0,51.16990816,2010.0,16,72.0,79303.0,90.8,90.79101673328879
Escambia,1053.0,59.39040625990465,2008.0,4,38.0,37929.0,100.2,100.1871918584724
Escambia,1053.0,59.17206021,2009.0,36,31.0,38249.0,81.0,81.04787053256294
Escambia,1053.0,59.1268835,2010.0,33,38.0,38319.0,99.2,99.16751480988543
Etowah,1055.0,50.16633576585015,2008.0,11,162.0,104206.0,155.5,155.46129781394546
Etowah,1055.0,50.09924808,2009.0,38,166.0,104239.0,159.2,159.24941720469306
Etowah,1055.0,50.0202239,2010.0,11,159.0,104430.0,152.3,152.2550991094513
Fayette,1057.0,52.38682399604247,2008.0,12,23.0,17541.0,131.1,131.12137278376375
Fayette,1057.0,52.21645046,2009.0,43,33.0,17310.0,190.6,190.6412478336222
Fayette,1057.0,52.27976482,2010.0,16,20.0,17241.0,116.0,116.00255205614523
Franklin,1059.0,52.60008843785226,2008.0,10,55.0,31459.0,174.8,174.83073206395625
Franklin,1059.0,52.42946571,2009.0,45,36.0,31589.0,114.0,113.96372154864035
Franklin,1059.0,52.40108339,2010.0,20,53.0,31704.0,167.2,167.17133484733787
Geneva,1061.0,66.60855898519983,2008.0,0,14.0,26646.0,Unreliable,52.54071905726939
Geneva,1061.0,66.60180533,2009.0,32,31.0,26653.0,116.3,116.30960867444567
Geneva,1061.0,66.6728351,2010.0,48,41.0,26790.0,153.0,153.04217991787982
Greene,1063.0,65.70272806,2009.0,56,10.0,9182.0,Unreliable,108.90873448050533
Hale,1065.0,62.634703000495634,2008.0,9,23.0,16260.0,141.5,141.45141451414514
Hale,1065.0,62.63981503,2009.0,58,25.0,16025.0,156.0,156.00624024961
Hale,1065.0,62.6531728,2010.0,20,18.0,15760.0,Unreliable,114.21319796954316
Henry,1067.0,59.38010886438296,2008.0,0,24.0,17129.0,140.1,140.11325821705879
Henry,1067.0,59.30857422,2009.0,31,21.0,17243.0,121.8,121.78855187612363
Henry,1067.0,59.41808362,2010.0,31,22.0,17302.0,127.2,127.15293029707549
Houston,1069.0,65.54038667675243,2008.0,0,102.0,99183.0,102.8,102.84020447052417
Houston,1069.0,65.42092772,2009.0,30,82.0,100500.0,81.6,81.59203980099502
Houston,1069.0,65.40377714,2010.0,37,83.0,101547.0,81.7,81.73555102563346
Jackson,1071.0,51.43477630839403,2008.0,16,88.0,53525.0,164.4,164.4091546006539
Jackson,1071.0,51.41582001,2009.0,33,77.0,53461.0,144.0,144.03022764258057
Jackson,1071.0,51.39793295,2010.0,11,68.0,53227.0,127.8,127.75471095496647
Jefferson,1073.0,38.92751940525191,2008.0,12,608.0,656510.0,92.6,92.61092748016024
Jefferson,1073.0,38.83884736,2009.0,47,576.0,658441.0,87.5,87.47936413437195
Jefferson,1073.0,38.77519251,2010.0,13,620.0,658466.0,94.2,94.15824051659463
Lamar,1075.0,55.82434278909364,2008.0,12,20.0,14799.0,135.1,135.14426650449354
Lamar,1075.0,55.74327358,2009.0,46,21.0,14689.0,143.0,142.96412281298933
Lamar,1075.0,55.96635817,2010.0,24,23.0,14564.0,157.9,157.92364734962922
Lauderdale,1077.0,56.780189843351714,2008.0,10,109.0,92202.0,118.2,118.21869373766296
Lauderdale,1077.0,56.74447521,2009.0,42,122.0,92526.0,131.9,131.8548299937315
Lauderdale,1077.0,56.72039575,2010.0,16,101.0,92709.0,108.9,108.94303681411729
Lawrence,1079.0,61.673572866964086,2008.0,10,42.0,34196.0,122.8,122.82138261785003
Lawrence,1079.0,61.62589765,2009.0,39,45.0,34315.0,131.1,131.13798630336586
Lawrence,1079.0,61.61676865,2010.0,16,48.0,34339.0,139.8,139.7827543026879
Lee,1081.0,47.89998736031455,2008.0,6,75.0,134524.0,55.8,55.75213344830662
Lee,1081.0,47.7003661,2009.0,26,71.0,138566.0,51.2,51.23912070782154
Lee,1081.0,47.65872736,2010.0,18,82.0,140247.0,58.5,58.46827383116929
Limestone,1083.0,63.405865508093,2008.0,10,64.0,78835.0,81.2,81.18221602080295
Limestone,1083.0,63.32023948,2009.0,36,53.0,81326.0,65.2,65.16981039274033
Limestone,1083.0,63.26613164,2010.0,12,64.0,82782.0,77.3,77.31149283660699
Macon,1087.0,58.50973734360665,2008.0,6,13.0,21597.0,Unreliable,60.19354539982405
Macon,1087.0,58.32159102,2009.0,27,21.0,21190.0,99.1,99.10335063709297
Macon,1087.0,58.28722996,2010.0,24,12.0,21452.0,Unreliable,55.93884020137983
Madison,1089.0,56.54678200180168,2008.0,14,258.0,323526.0,79.7,79.74629550638898
Madison,1089.0,56.40919817,2009.0,32,267.0,330856.0,80.7,80.69976062093478
Madison,1089.0,56.27489233,2010.0,12,248.0,334811.0,74.1,74.07164041802689
Marengo,1091.0,62.37543419262981,2008.0,7,14.0,21331.0,Unreliable,65.63217851952557
Marengo,1091.0,62.15765746,2009.0,55,21.0,21170.0,99.2,99.19697685403872
Marengo,1091.0,62.11448469,2010.0,26,19.0,21027.0,Unreliable,90.36001331621249
Marion,1093.0,50.776050564116325,2008.0,11,47.0,30918.0,152.0,152.01500743903227
Marion,1093.0,50.71946039,2009.0,52,44.0,30646.0,143.6,143.57501794687724
Marion,1093.0,50.75676372,2010.0,21,61.0,30776.0,198.2,198.2063945931895
Marshall,1095.0,51.86351838046079,2008.0,13,120.0,91072.0,131.8,131.76387912860156
Marshall,1095.0,51.81169723,2009.0,36,134.0,92213.0,145.3,145.3157363929164
Marshall,1095.0,51.78875588,2010.0,11,144.0,93019.0,154.8,154.8070824240209
Mobile,1097.0,55.21940467262637,2008.0,4,350.0,409196.0,85.5,85.53358292847437
Mobile,1097.0,55.18774374,2009.0,33,349.0,411994.0,84.7,84.70997150443938
Mobile,1097.0,55.11302954,2010.0,31,346.0,412992.0,83.8,83.77886254455292
Monroe,1099.0,57.853751744265125,2008.0,5,18.0,23393.0,Unreliable,76.94609498567948
Monroe,1099.0,57.60477731,2009.0,52,21.0,23218.0,90.4,90.44706693082954
Monroe,1099.0,57.49247871,2010.0,37,18.0,23068.0,Unreliable,78.03017166637767
Montgomery,1101.0,61.22334053500311,2008.0,5,175.0,227461.0,76.9,76.93626599724787
Montgomery,1101.0,61.12119746,2009.0,36,167.0,227607.0,73.4,73.37208433835515
Montgomery,1101.0,61.07349657,2010.0,25,156.0,229363.0,68.0,68.01445743210544
Morgan,1103.0,56.734089262438346,2008.0,10,130.0,117694.0,110.5,110.45592808469421
Morgan,1103.0,56.67350626,2009.0,39,90.0,118954.0,75.7,75.6594986297224
Morgan,1103.0,56.6494008,2010.0,15,136.0,119490.0,113.8,113.81705582057076
Perry,1105.0,59.31230135,2010.0,23,14.0,10591.0,Unreliable,132.18770654329145
Pickens,1107.0,58.39407186342161,2008.0,10,25.0,19951.0,125.3,125.30700215528044
Pickens,1107.0,58.28623923,2009.0,49,18.0,19814.0,Unreliable,90.84485717169677
Pickens,1107.0,58.31654398,2010.0,24,24.0,19746.0,121.5,121.5436037678517
Pike,1109.0,57.886819992410295,2008.0,2,22.0,32149.0,68.4,68.43136644996734
Pike,1109.0,57.73377237,2009.0,37,27.0,32560.0,82.9,82.92383292383292
Pike,1109.0,57.76899271,2010.0,32,38.0,32899.0,115.5,115.50503054804098
Randolph,1111.0,48.6041908393222,2008.0,4,32.0,22946.0,139.5,139.45785757866295
Randolph,1111.0,48.51945415,2009.0,40,28.0,22864.0,122.5,122.4632610216935
Randolph,1111.0,48.48759206,2010.0,14,32.0,22913.0,139.7,139.6587090298084
Russell,1113.0,53.72735891395797,2008.0,5,54.0,51434.0,105.0,104.9889178364506
Russell,1113.0,53.64997284,2009.0,22,55.0,52162.0,105.4,105.44074230282581
Russell,1113.0,53.55054532,2010.0,24,57.0,52947.0,107.7,107.65482463595671
St. Clair,1115.0,48.37681856726273,2008.0,12,83.0,81223.0,102.2,102.18780394715783
St. Clair,1115.0,48.20453761,2009.0,41,85.0,83009.0,102.4,102.39853509860376
St. Clair,1115.0,48.08746986,2010.0,12,85.0,83593.0,101.7,101.68315528812221
Shelby,1117.0,46.02464347514768,2008.0,9,103.0,188534.0,54.6,54.632055756521375
Shelby,1117.0,46.0418609,2009.0,49,110.0,192708.0,57.1,57.08117981609482
Shelby,1117.0,46.04651812,2010.0,12,100.0,195085.0,51.3,51.259707307071274
Sumter,1119.0,63.31718999407037,2008.0,5,16.0,13882.0,Unreliable,115.25716755510734
Sumter,1119.0,63.26572551,2009.0,55,14.0,13746.0,Unreliable,101.84781027207914
Talladega,1121.0,49.93042539120149,2008.0,9,122.0,82735.0,147.5,147.4587538526621
Talladega,1121.0,49.80355714,2009.0,44,104.0,82674.0,125.8,125.79529235309771
Talladega,1121.0,49.72195523,2010.0,9,112.0,82291.0,136.1,136.10236842425053
Tallapoosa,1123.0,45.23890622491981,2008.0,5,52.0,41668.0,124.8,124.7960065277911
Tallapoosa,1123.0,45.12390169,2009.0,34,51.0,41831.0,121.9,121.91915086897278
Tallapoosa,1123.0,44.96289107,2010.0,15,54.0,41616.0,129.8,129.75778546712803
Tuscaloosa,1125.0,49.99971280127262,2008.0,11,137.0,188093.0,72.8,72.83630969786223
Tuscaloosa,1125.0,49.97807622,2009.0,52,168.0,192792.0,87.1,87.14054525084028
Tuscaloosa,1125.0,50.05777143,2010.0,16,181.0,194656.0,93.0,92.98454709847115
Walker,1127.0,48.01436878603635,2008.0,12,102.0,67835.0,150.4,150.3648559003464
Walker,1127.0,47.8948017,2009.0,44,97.0,67347.0,144.0,144.03017209378294
Walker,1127.0,47.89407526,2010.0,15,126.0,67023.0,188.0,187.99516583859273
Washington,1129.0,61.612903308172285,2008.0,2,16.0,17496.0,Unreliable,91.44947416552354
Washington,1129.0,61.60034662,2009.0,51,13.0,17493.0,Unreliable,74.31544046189904
Washington,1129.0,61.5256148,2010.0,37,10.0,17581.0,Unreliable,56.87958591661453
Wilcox,1131.0,57.8691075,2009.0,49,10.0,11870.0,Unreliable,84.24599831508003
Winston,1133.0,47.51303676217962,2008.0,11,49.0,24696.0,198.4,198.4126984126984
Winston,1133.0,47.31943214,2009.0,40,41.0,24691.0,166.1,166.05240775991254
Winston,1133.0,47.27091431,2010.0,19,53.0,24484.0,216.5,216.46789740238523
Apache,4001.0,49.51646601133068,2008.0,3,46.0,69883.0,65.8,65.82430634059786
Apache,4001.0,49.51635215,2009.0,13,68.0,71008.0,95.8,95.7638575935106
Apache,4001.0,49.50370262,2010.0,6,51.0,71518.0,71.3,71.31071897983725
Cochise,4003.0,51.31911453227986,2008.0,6,101.0,129023.0,78.3,78.28061663424351
Cochise,4003.0,51.30836635,2009.0,19,106.0,130081.0,81.5,81.48768844027953
Cochise,4003.0,51.3222365,2010.0,6,112.0,131346.0,85.3,85.27096371415955
Coconino,4005.0,49.39963347726734,2008.0,2,58.0,131853.0,44.0,43.98838100005309
Coconino,4005.0,49.41059769,2009.0,7,74.0,133477.0,55.4,55.44026311649198
Coconino,4005.0,49.42278332,2010.0,6,60.0,134421.0,44.6,44.635882786171805
Gila,4007.0,47.87175091636455,2008.0,2,102.0,53437.0,190.9,190.8789789845987
Gila,4007.0,47.83620826,2009.0,21,103.0,53561.0,192.3,192.3041018651631
Gila,4007.0,47.77098531,2010.0,6,81.0,53597.0,151.1,151.12786163404667
Graham,4009.0,51.15999331105533,2008.0,2,27.0,36639.0,73.7,73.69196757553426
Graham,4009.0,51.18432423,2009.0,19,34.0,37525.0,90.6,90.60626249167223
Graham,4009.0,51.11411398,2010.0,8,33.0,37220.0,88.7,88.66200967221924
La Paz,4012.0,52.08304590348656,2008.0,11,22.0,20555.0,107.0,107.02991972756021
La Paz,4012.0,51.97366435,2009.0,21,26.0,20514.0,126.7,126.74271229404309
La Paz,4012.0,51.96177683,2010.0,10,34.0,20489.0,165.9,165.94270096149154
Maricopa,4013.0,50.1605587095276,2008.0,13,2466.0,3771061.0,65.4,65.39273695121877
Maricopa,4013.0,50.13029965,2009.0,21,2444.0,3803779.0,64.3,64.25189265727583
Maricopa,4013.0,50.12071868,2010.0,11,2162.0,3817117.0,56.6,56.639605230858784
Mohave,4015.0,51.13112008231704,2008.0,7,313.0,200078.0,156.4,156.43898879437018
Mohave,4015.0,51.12494827,2009.0,8,292.0,199696.0,146.2,146.2222578319045
Mohave,4015.0,51.12465843,2010.0,6,287.0,200186.0,143.4,143.36666899783202
Navajo,4017.0,51.113930484485074,2008.0,3,84.0,107626.0,78.0,78.04805530262205
Navajo,4017.0,51.03048746,2009.0,12,100.0,107571.0,93.0,92.96185774976527
Navajo,4017.0,51.00237701,2010.0,6,74.0,107449.0,68.9,68.86988245586278
Pima,4019.0,51.31612141414463,2008.0,12,865.0,967778.0,89.4,89.38000243857579
Pima,4019.0,51.31225937,2009.0,22,830.0,975580.0,85.1,85.07759486664344
Pima,4019.0,51.32635376,2010.0,11,894.0,980263.0,91.2,91.20001468993526
Pinal,4021.0,54.389050236174064,2008.0,10,226.0,335311.0,67.4,67.40011511701077
Pinal,4021.0,54.38246278,2009.0,21,237.0,349830.0,67.7,67.74719149301089
Pinal,4021.0,54.38277707,2010.0,7,229.0,375770.0,60.9,60.94153338478325
Santa Cruz,4023.0,51.44026695536214,2008.0,9,24.0,46144.0,52.0,52.011095700416085
Santa Cruz,4023.0,51.42189827,2009.0,23,20.0,47011.0,42.5,42.54323456212376
Santa Cruz,4023.0,51.3933168,2010.0,8,24.0,47420.0,50.6,50.61155630535639
Yavapai,4025.0,50.11564985705507,2008.0,5,283.0,211211.0,134.0,133.98923351529987
Yavapai,4025.0,50.14714763,2009.0,17,258.0,211172.0,122.2,122.17528839050631
Yavapai,4025.0,50.11766214,2010.0,6,272.0,211033.0,128.9,128.88979448711814
Yuma,4027.0,50.4580912701579,2008.0,13,146.0,191202.0,76.4,76.35903390131902
Yuma,4027.0,50.46052821,2009.0,19,166.0,193714.0,85.7,85.69334173059252
Yuma,4027.0,50.36747053,2010.0,14,179.0,195751.0,91.4,91.44270016500555
Arkansas,5001.0,78.04895562345096,2008.0,10,36.0,19275.0,186.8,186.7704280155642
Arkansas,5001.0,78.03705581,2009.0,30,22.0,19134.0,115.0,114.97857217518553
Arkansas,5001.0,78.32098028,2010.0,26,30.0,19019.0,157.7,157.736999842263
Ashley,5003.0,64.10421043142476,2008.0,10,22.0,22148.0,99.3,99.33176810547226
Ashley,5003.0,63.91328722,2009.0,55,23.0,21920.0,104.9,104.92700729927007
Ashley,5003.0,63.91756696,2010.0,35,26.0,21853.0,119.0,118.97679952409281
Baxter,5005.0,44.52713456013151,2008.0,4,85.0,41519.0,204.7,204.72554733977216
Baxter,5005.0,44.67015311,2009.0,0,75.0,41561.0,180.5,180.457640576502
Baxter,5005.0,44.7520921,2010.0,18,77.0,41513.0,185.5,185.48406523257776
Benton,5007.0,51.91262229416003,2008.0,2,166.0,210807.0,78.7,78.74501321113625
Benton,5007.0,51.82209818,2009.0,10,155.0,216620.0,71.6,71.55387314190749
Benton,5007.0,51.87007566,2010.0,27,130.0,221339.0,58.7,58.73343604154712
Boone,5009.0,56.57933348032521,2008.0,2,39.0,36974.0,105.5,105.47952615351328
Boone,5009.0,56.56124251,2009.0,0,36.0,36844.0,97.7,97.70926066659429
Boone,5009.0,56.59400342,2010.0,18,43.0,36903.0,116.5,116.52169200336016
Bradley,5011.0,60.51974377875769,2008.0,11,16.0,11643.0,Unreliable,137.4216267285064
Bradley,5011.0,60.87943338,2009.0,55,14.0,11538.0,Unreliable,121.33818686080778
Bradley,5011.0,61.36224968,2010.0,31,19.0,11508.0,Unreliable,165.1025373653111
Calhoun,5013.0,57.87832936,2010.0,31,12.0,5368.0,Unreliable,223.54694485842026
Carroll,5015.0,55.53956581223001,2008.0,2,42.0,26822.0,156.6,156.58787562448734
Carroll,5015.0,55.57532274,2009.0,2,27.0,27158.0,99.4,99.41821930922747
Carroll,5015.0,55.60273484,2010.0,21,19.0,27446.0,Unreliable,69.22684544195876
Chicot,5017.0,74.11761880669765,2008.0,6,12.0,12050.0,Unreliable,99.5850622406639
Chicot,5017.0,74.43970422,2009.0,48,12.0,11851.0,Unreliable,101.25727786684668
Chicot,5017.0,74.9952248,2010.0,33,16.0,11800.0,Unreliable,135.59322033898306
Clark,5019.0,53.35398746253243,2008.0,6,27.0,23272.0,116.0,116.0192506015813
Clark,5019.0,53.35190431,2009.0,50,22.0,23100.0,95.2,95.23809523809524
Clark,5019.0,53.40862124,2010.0,35,16.0,22995.0,Unreliable,69.58034355294629
Clay,5021.0,76.11375325199181,2008.0,5,19.0,16209.0,Unreliable,117.21882904559195
Clay,5021.0,76.08482061,2009.0,0,22.0,16056.0,137.0,137.02042850024912
Clay,5021.0,76.12450235,2010.0,23,26.0,16083.0,161.7,161.66138158303798
Cleburne,5023.0,48.063824928080784,2008.0,5,44.0,25623.0,171.7,171.72071966592515
Cleburne,5023.0,48.01218341,2009.0,7,30.0,25870.0,116.0,115.96443757247778
Cleburne,5023.0,48.03143427,2010.0,19,28.0,25970.0,107.8,107.8167115902965
Cleveland,5025.0,60.447780752340655,2008.0,10,14.0,8775.0,Unreliable,159.54415954415956
Cleveland,5025.0,60.42162253,2010.0,29,12.0,8689.0,Unreliable,138.1056508228795
Columbia,5027.0,51.96632603772354,2008.0,10,27.0,24666.0,109.5,109.46241790318658
Columbia,5027.0,51.97552356,2009.0,66,22.0,24622.0,89.4,89.35098692226464
Columbia,5027.0,51.89418224,2010.0,40,24.0,24552.0,97.8,97.75171065493646
Conway,5029.0,58.233735422923765,2008.0,2,39.0,21025.0,185.5,185.49346016646848
Conway,5029.0,58.26858305,2009.0,12,24.0,21257.0,112.9,112.90398456978876
Conway,5029.0,58.31107165,2010.0,18,17.0,21273.0,Unreliable,79.91350538240962
Craighead,5031.0,73.76599964990518,2008.0,5,111.0,93316.0,119.0,118.95066226584937
Craighead,5031.0,73.66058259,2009.0,0,92.0,95482.0,96.4,96.35323935401438
Craighead,5031.0,73.64197052,2010.0,24,94.0,96443.0,97.5,97.46689754570056
Crawford,5033.0,51.6185814196176,2008.0,4,76.0,60933.0,124.7,124.72715933894605
Crawford,5033.0,51.60270218,2009.0,29,57.0,61595.0,92.5,92.53997889439077
Crawford,5033.0,51.5899225,2010.0,24,62.0,61948.0,100.1,100.08394137018145
Crittenden,5035.0,76.15340405850662,2008.0,0,50.0,50699.0,98.6,98.62127458135268
Crittenden,5035.0,76.12130743,2009.0,26,36.0,50929.0,70.7,70.68664218814428
Crittenden,5035.0,76.09557946,2010.0,28,43.0,50902.0,84.5,84.47605202153157
Cross,5037.0,75.73305180343688,2008.0,2,27.0,18200.0,148.4,148.35164835164835
Cross,5037.0,75.61644437,2009.0,17,26.0,17971.0,144.7,144.677536030271
Cross,5037.0,75.65783842,2010.0,28,27.0,17870.0,151.1,151.0912143256855
Dallas,5039.0,54.52693297487553,2008.0,7,11.0,8282.0,Unreliable,132.81815986476698
Dallas,5039.0,54.40132882,2010.0,25,14.0,8116.0,Unreliable,172.49876786594382
Desha,5041.0,77.16852233,2009.0,35,12.0,13108.0,Unreliable,91.547146780592
Drew,5043.0,63.76081528412406,2008.0,10,14.0,18481.0,Unreliable,75.75347654347708
Drew,5043.0,63.60290243,2009.0,41,22.0,18495.0,119.0,118.95106785617733
Drew,5043.0,63.572701,2010.0,31,20.0,18509.0,108.1,108.0555405478416
Faulkner,5045.0,57.83734083179078,2008.0,4,103.0,108477.0,95.0,94.95100343851692
Faulkner,5045.0,57.77121122,2009.0,16,99.0,110813.0,89.3,89.33969841083626
Faulkner,5045.0,57.73459972,2010.0,15,94.0,113237.0,83.0,83.01173644656781
Franklin,5047.0,54.85077661519138,2008.0,4,28.0,18229.0,153.6,153.60140435569696
Franklin,5047.0,54.86146867,2009.0,34,25.0,18145.0,137.8,137.77900248002206
Franklin,5047.0,54.86034272,2010.0,19,29.0,18125.0,160.0,160.0
Fulton,5049.0,55.3133046873687,2008.0,5,21.0,12382.0,169.6,169.60103375868195
Fulton,5049.0,55.39684596,2009.0,0,24.0,12231.0,196.2,196.22271277900415
Fulton,5049.0,55.42917463,2010.0,16,23.0,12245.0,187.8,187.83176806859944
Garland,5051.0,40.895516246706464,2008.0,4,189.0,95636.0,197.6,197.62432556777784
Garland,5051.0,40.85002793,2009.0,41,161.0,95840.0,168.0,167.9883138564274
Garland,5051.0,40.83358613,2010.0,27,152.0,96024.0,158.3,158.29375989336
Grant,5053.0,58.37538351389874,2008.0,3,16.0,17718.0,Unreliable,90.30364600970763
Grant,5053.0,58.12436776,2009.0,39,18.0,17751.0,Unreliable,101.4027378739226
Grant,5053.0,58.15189456,2010.0,25,17.0,17853.0,Unreliable,95.22209152523386
Greene,5055.0,70.14750572233405,2008.0,6,59.0,41286.0,142.9,142.90558542847455
Greene,5055.0,70.09972251,2009.0,0,61.0,41723.0,146.2,146.20233444383194
Greene,5055.0,70.1067249,2010.0,21,66.0,42090.0,156.8,156.80684248039913
