NAME,FIPS,avg_land_cover,YEAR
Keokuk,19107,74.76699609,2010
Winnebago,19189,77.88371245,2010
Kearny,20093,74.13973089,2010
Mitchell,20123,73.28939642,2010
Stanton,20187,76.60503508,2010
Anderson,21005,54.40868644,2010
Bullitt,21029,49.21242992,2010
Clark,21049,66.36852507,2010
Daviess,21059,64.76059835,2010
Elliott,21063,45.01219971,2010
Hardin,21093,56.61052172,2010
Harrison,21097,63.5884177,2010
Hopkins,21107,61.14257355,2010
Leslie,21131,40.82742982,2010
McCreary,21147,42.18090371,2010
Madison,21151,59.55682149,2010
Marion,21155,60.7662314,2010
Morgan,21175,45.45392517,2010
Autauga,1001,56.04213053,2010
Baldwin,1003,59.96565895,2010
Clarke,1025,55.66299099,2010
DeKalb,1049,57.18440584,2010
Fayette,1057,52.27976482,2010
Jefferson,1073,38.77519251,2010
Mobile,1097,55.11302954,2010
Montgomery,1101,61.07349657,2010
Wilcox,1131,57.73840802,2010
Fairbanks North Star,2090,,2010
Nome,2180,,2010
Southeast Fairbanks,2240,,2010
Apache,4001,49.50370262,2010
Gila,4007,47.77098531,2010
La Paz,4012,51.96177683,2010
Maricopa,4013,50.12071868,2010
Carroll,5015,55.60273484,2010
Clark,5019,53.40862124,2010
Conway,5029,58.31107165,2010
Jefferson,5069,67.18267519,2010
Lafayette,5073,58.26527127,2010
Mississippi,5093,77.5405871,2010
Phillips,5107,75.65694274,2010
Prairie,5117,75.10130685,2010
Sebastian,5131,52.69120833,2010
White,5145,65.88718274,2010
Butte,6007,57.05446095,2010
Calaveras,6009,49.64086718,2010
Colusa,6011,68.8520252,2010
El Dorado,6017,42.94836369,2010
Fresno,6019,60.62988527,2010
Humboldt,6023,45.17331272,2010
Lake,6033,48.03790614,2010
Los Angeles,6037,44.32774213,2010
Mendocino,6045,46.43823389,2010
Monterey,6053,60.07921214,2010
Santa Barbara,6083,56.69116078,2010
Sonoma,6097,50.88777044,2010
Yolo,6113,69.78163735,2010
Costilla,8023,51.226649,2010
Eagle,8037,46.21248304,2010
Fremont,8043,49.5063427,2010
Hinsdale,8053,49.76006778,2010
Jackson,8057,54.24465904,2010
La Plata,8067,49.32565731,2010
Ouray,8091,45.04446475,2010
San Juan,8111,49.65165318,2010
New Haven,9009,36.62940196,2010
District of Columbia,11001,23.61139232,2010
Brevard,12009,55.28955504,2010
Columbia,12023,60.67149013,2010
Duval,12031,45.09514026,2010
Gilchrist,12041,64.35409679,2010
Gulf,12045,73.5935647,2010
Lee,12071,50.80994768,2010
Okeechobee,12093,70.75360235,2010
Osceola,12097,68.72155662,2010
Pinellas,12103,29.16192079,2010
Polk,12105,62.81678914,2010
Putnam,12107,52.53518398,2010
Suwannee,12121,59.99977612,2010
Taylor,12123,67.7066672,2010
Union,12125,61.98459692,2010
Appling,13001,66.08181413,2010
Baker,13007,65.63022369,2010
Brantley,13025,64.76281566,2010
Bryan,13029,61.91016886,2010
Chatham,13051,56.27381295,2010
Hall,13139,41.20009211,2010
Haralson,13143,47.39493297,2010
Houston,13153,55.50505877,2010
Mitchell,13205,66.4158985,2010
Montgomery,13209,63.44600861,2010
Muscogee,13215,39.03074507,2010
Oconee,13219,52.19641402,2010
Pierce,13229,67.23951636,2010
Talbot,13263,48.0032194,2010
Tattnall,13267,67.26769881,2010
Union,13291,43.5485996,2010
Maui,15009,,2010
Adams,16003,51.18298592,2010
Bannock,16005,54.0750119,2010
Blaine,16013,54.87325003,2010
Butte,16023,52.39481557,2010
Camas,16025,55.88611521,2010
Cassia,16031,60.15941522,2010
Clearwater,16035,44.51598988,2010
Franklin,16041,56.46876481,2010
Fremont,16043,52.95290489,2010
Idaho,16049,49.2979981,2010
Lewis,16061,66.69766113,2010
Alexander,17003,61.66465169,2010
Cass,17017,71.84345377,2010
Clinton,17027,70.69038775,2010
DuPage,17043,29.31600481,2010
McDonough,17109,72.66503246,2010
Mason,17125,72.76777358,2010
Pulaski,17153,69.84030693,2010
Allen,18003,61.01016583,2010
Gibson,18051,70.73689839,2010
Harrison,18061,56.04807675,2010
Jackson,18071,62.71396279,2010
Miami,18103,69.64504407,2010
Perry,18123,49.11879052,2010
Pulaski,18131,73.75577228,2010
Wells,18179,73.69441457,2010
Cass,19029,76.94734226,2010
Goliad,48175,65.1909134,2010
Grimes,48185,68.33537085,2010
Hidalgo,48215,63.99743916,2010
Houston,48225,62.52521084,2010
Irion,48235,51.80612981,2010
Kleberg,48273,68.18177379,2010
Lamar,48277,68.87473688,2010
Martin,48317,63.40710095,2010
Newton,48351,57.99574951,2010
Orange,48361,59.37276346,2010
Rains,48379,67.37375157,2010
Robertson,48395,68.92786331,2010
San Patricio,48409,72.42177986,2010
Smith,48423,59.45602617,2010
Terrell,48443,51.90674895,2010
Travis,48453,45.09000367,2010
Van Zandt,48467,70.14202488,2010
Walker,48471,57.166481,2010
Washington,48477,71.41508616,2010
Wharton,48481,75.82032225,2010
Winkler,48495,50.46017115,2010
Wood,48499,61.41491214,2010
Beaver,49001,50.60916885,2010
Box Elder,49003,45.9288328,2010
Duchesne,49013,50.01011689,2010
Emery,49015,50.51330893,2010
Grand,49019,49.59943705,2010
Kane,49025,48.42085145,2010
Tooele,49045,43.33157324,2010
Windsor,50027,44.95695292,2010
Nicholas,21181,61.28851378,2010
Owsley,21189,43.51368463,2010
Pike,21195,41.05264431,2010
Whitley,21235,45.2250521,2010
Wolfe,21237,45.12808873,2010
Ascension,22005,66.62881714,2010
Beauregard,22011,58.44654638,2010
Bienville,22013,54.36866839,2010
Bossier,22015,57.29758163,2010
Catahoula,22025,73.2712866,2010
Concordia,22029,77.79132568,2010
LaSalle,22059,58.51880011,2010
Livingston,22063,61.53202289,2010
Natchitoches,22069,59.54354314,2010
Ouachita,22073,61.55522466,2010
Rapides,22079,60.44078516,2010
St. Landry,22097,78.58523573,2010
Vermilion,22113,75.57126472,2010
Webster,22119,54.5469645,2010
West Carroll,22123,79.40763255,2010
Sagadahoc,23023,45.54090206,2010
Waldo,23027,49.46139185,2010
Anne Arundel,24003,39.70920007,2010
Calvert,24009,44.55628165,2010
Caroline,24011,70.95142174,2010
Garrett,24023,47.24372916,2010
Harford,24025,51.85798037,2010
Howard,24027,44.26959912,2010
Washington,24043,53.88001323,2010
Barnstable,25001,34.19502913,2010
Baraga,26013,55.46607641,2010
Delta,26041,70.43771077,2010
Iron,26071,55.19510382,2010
Presque Isle,26141,66.70971089,2010
St. Clair,26147,62.62346791,2010
Wayne,26163,29.48724271,2010
Big Stone,27011,73.74425425,2010
Brown,27015,76.35744095,2010
Cass,27021,54.80542534,2010
Cook,27031,50.98760216,2010
Isanti,27059,71.12881091,2010
Kittson,27069,78.19580598,2010
Lake,27075,56.74330841,2010
St. Louis,27137,60.58857117,2010
Wright,27171,65.40877723,2010
Attala,28007,56.3420184,2010
Bolivar,28011,77.53706342,2010
Claiborne,28021,53.32110379,2010
Holmes,28051,62.9547267,2010
Newton,28101,59.71333579,2010
Warren,28149,59.91652395,2010
Washington,28151,75.68037648,2010
Yazoo,28163,67.16032899,2010
Boone,29019,58.153477,2010
Butler,29023,65.36345898,2010
Callaway,29027,59.53569605,2010
Carroll,29033,73.19854071,2010
Chariton,29041,73.50295403,2010
Dunklin,29069,77.47341301,2010
Henry,29083,69.00729458,2010
Lincoln,29113,62.67830877,2010
Perry,29157,59.4563378,2010
Putnam,29171,67.27426074,2010
St. Louis,29189,32.27661446,2010
Stoddard,29207,74.97422087,2010
Worth,29227,71.08822966,2010
Carbon,30009,55.49291821,2010
Flathead,30029,46.59280444,2010
Lake,30047,50.50014569,2010
Lincoln,30053,43.71924249,2010
Pondera,30073,70.25865615,2010
Richland,30083,70.74410413,2010
Deuel,31049,76.5535754,2010
Hooker,31091,70.51365668,2010
McPherson,31117,70.97076797,2010
Coos,33007,46.81487241,2010
Strafford,33017,46.37165256,2010
Hunterdon,34019,52.44014272,2010
Mercer,34021,46.08710529,2010
Morris,34027,42.44812812,2010
Passaic,34031,36.28159827,2010
Salem,34033,69.93438665,2010
Warren,34041,51.5111895,2010
De Baca,35011,52.33719693,2010
Luna,35029,55.4087628,2010
Mora,35033,53.36626121,2010
San Juan,35045,51.86310176,2010
Delaware,36025,46.87669924,2010
Jefferson,36045,58.97697208,2010
Livingston,36051,61.72397285,2010
Madison,36053,59.22462945,2010
Nassau,36059,26.94691795,2010
Oneida,36065,54.89506712,2010
Oswego,36075,51.94050487,2010
Otsego,36077,54.51819104,2010
Suffolk,36103,29.51136767,2010
Ashe,37009,47.8313052,2010
Bladen,37017,66.38039544,2010
Burke,37023,44.10004609,2010
Caldwell,37027,43.12679141,2010
Columbus,37047,68.02136416,2010
Hertford,37091,62.40560602,2010
Hyde,37095,73.48168479,2010
Lee,37105,47.33418199,2010
Madison,37115,44.51875227,2010
Mitchell,37121,42.32908669,2010
Pasquotank,37139,72.4793175,2010
Robeson,37155,73.66348302,2010
Sampson,37163,67.77046945,2010
Wilkes,37193,46.82902053,2010
Yancey,37199,43.24302987,2010
Ramsey,38071,69.40924283,2010
Rolette,38079,70.19150439,2010
Sioux,38085,69.61374853,2010
Traill,38097,78.49173737,2010
Williams,38105,73.02085335,2010
Fulton,39051,73.32859663,2010
Hamilton,39061,31.75132687,2010
Lucas,39095,47.12576204,2010
Ottawa,39123,67.25805532,2010
Blaine,40011,69.87731674,2010
Jackson,40065,68.77081584,2010
Le Flore,40079,53.64112814,2010
McCurtain,40089,53.24075673,2010
Pawnee,40117,58.24240981,2010
Seminole,40133,55.68332267,2010
Benton,41003,54.93292069,2010
Clatsop,41007,49.71486039,2010
Gilliam,41021,68.73482434,2010
Josephine,41033,45.86310716,2010
Klamath,41035,49.01648533,2010
Lane,41039,45.84540218,2010
Linn,41043,52.7276238,2010
Malheur,41045,57.70447161,2010
Marion,41047,56.02739055,2010
Union,41061,52.21693958,2010
Allegheny,42003,32.30997395,2010
Bucks,42017,44.83572502,2010
Cumberland,42041,53.95336463,2010
Franklin,42055,56.72567514,2010
Huntingdon,42061,46.29981598,2010
Lancaster,42071,57.7056498,2010
Northampton,42095,48.73949807,2010
Perry,42099,50.06977477,2010
Sullivan,42113,45.34978242,2010
York,42133,53.69722311,2010
Newport,44005,44.42040389,2010
Allendale,45005,66.08927068,2010
Bamberg,45009,67.80478728,2010
Colleton,45029,66.72724151,2010
Greenwood,45047,47.2698782,2010
Jasper,45053,66.58879671,2010
Pickens,45077,43.94104787,2010
Union,45087,48.8299697,2010
York,45091,46.48119794,2010
Jones,46075,72.33234888,2010
Mellette,46095,70.67862941,2010
Pennington,46103,60.46442748,2010
Sanborn,46111,78.07626171,2010
Stanley,46117,69.56521597,2010
Bedford,47003,63.06595786,2010
Cheatham,47021,48.22580382,2010
Coffee,47031,58.50033385,2010
DeKalb,47041,49.8004221,2010
Dyer,47045,74.78701738,2010
Giles,47055,57.60769243,2010
Hamilton,47065,38.32582575,2010
Humphreys,47085,47.08884409,2010
Jefferson,47089,51.22429179,2010
Monroe,47123,48.30720942,2010
Morgan,47129,44.73205898,2010
Rhea,47143,48.17067654,2010
Robertson,47147,64.46481588,2010
Tipton,47167,69.0961996,2010
Williamson,47187,51.26694204,2010
Aransas,48007,67.3211627,2010
Borden,48033,54.76448676,2010
Burleson,48051,68.59409204,2010
Childress,48075,58.12189354,2010
Ector,48135,49.00406704,2010
Ellis,48139,66.63930271,2010
El Paso,48141,47.35242332,2010
Freestone,48161,69.27198811,2010
Galveston,48167,53.96247954,2010
Lamar,13171,53.84665001,2010
Lincoln,13181,42.50389634,2010
Lowndes,13185,60.49755174,2010
McDuffie,13189,49.8284046,2010
McIntosh,13191,64.9983902,2010
Madison,13195,54.49636482,2010
Murray,13213,48.27321317,2010
Newton,13217,48.41755954,2010
Oglethorpe,13221,51.43286416,2010
Putnam,13237,46.81028345,2010
Richmond,13245,46.78178218,2010
Sumter,13261,63.83186491,2010
Taylor,13269,55.89574856,2010
Telfair,13271,63.86398925,2010
Twiggs,13289,54.94500039,2010
Washington,13303,56.66207925,2010
Wayne,13305,65.00236375,2010
Wheeler,13309,61.48787443,2010
Wilcox,13315,65.91061545,2010
Hawaii,15001,,2010
Honolulu,15003,,2010
Kauai,15007,,2010
Bear Lake,16007,53.45922264,2010
Nez Perce,16069,64.90758062,2010
Owyhee,16073,57.30048019,2010
Shoshone,16079,43.32863026,2010
Twin Falls,16083,62.66590641,2010
Cook,17031,28.6735027,2010
Bath,51017,43.38937798,2010
Botetourt,51023,46.77194825,2010
Buchanan,51027,40.94260317,2010
Chesterfield,51041,39.31923602,2010
Culpeper,51047,58.41861654,2010
Floyd,51063,52.43473535,2010
Gloucester,51073,52.89655047,2010
Isle of Wight,51093,63.88238994,2010
King and Queen,51097,54.72658185,2010
Lancaster,51103,51.91018751,2010
Loudoun,51107,55.02196906,2010
Montgomery,51121,47.67368316,2010
Prince William,51153,44.16147503,2010
Roanoke,51161,40.98327121,2010
Shenandoah,51171,51.71827955,2010
Manassas Park,51685,23.65232828,2010
Benton,53005,62.30001927,2010
Clark,53011,48.65666106,2010
Cowlitz,53015,45.64980071,2010
Douglas,53017,62.62568014,2010
Grant,53025,63.32714657,2010
Grays Harbor,53027,48.56714066,2010
King,53033,39.26912917,2010
Kittitas,53037,51.56894756,2010
Okanogan,53047,52.71757942,2010
Snohomish,53061,42.95951282,2010
Walla Walla,53071,70.18837376,2010
Braxton,54007,42.22406988,2010
Grant,54023,46.61319502,2010
Harrison,54033,45.72192682,2010
Nicholas,54067,43.52678207,2010
Pendleton,54071,46.01598317,2010
Pocahontas,54075,43.70975916,2010
Raleigh,54081,41.42480585,2010
Tyler,54095,43.58272907,2010
Wyoming,54109,40.92778316,2010
Bayfield,55007,49.85354866,2010
Door,55029,68.15612885,2010
Grant,55043,64.91034864,2010
Juneau,55057,65.99950239,2010
Crook,56011,59.58892546,2010
Sublette,56035,52.95959501,2010
Eastern,60010,,2010
Swains Island,60040,,2010
Western,60050,,2010
Rota,69100,,2010
Cabo Rojo,72023,,2010
Carolina,72031,,2010
Ciales,72039,,2010
Hatillo,72065,,2010
Mayagüez,72097,,2010
Ponce,72113,,2010
Toa Alta,72135,,2010
Utuado,72141,,2010
St. Croix,78010,,2010
St. John,78020,,2010
Howard,5061,54.41199111,2010
Jackson,5067,76.88272627,2010
Lawrence,5075,69.75144169,2010
Little River,5081,61.39603009,2010
Lonoke,5085,73.33970003,2010
Monroe,5095,80.60153058,2010
Pike,5109,49.31096968,2010
Pulaski,5119,48.95054833,2010
Sevier,5133,57.23836923,2010
Union,5139,55.89714568,2010
Woodruff,5147,80.54195185,2010
Marin,6041,48.30504419,2010
Mariposa,6043,51.93479222,2010
Mono,6051,48.05288051,2010
Napa,6055,50.58802992,2010
Nevada,6057,42.99151444,2010
Placer,6061,44.45955838,2010
San Bernardino,6071,48.86925247,2010
San Mateo,6081,40.43660791,2010
Santa Clara,6085,46.26000085,2010
Shasta,6089,47.28402074,2010
Sierra,6091,46.25843757,2010
Stanislaus,6099,68.01297959,2010
Ventura,6111,52.98032331,2010
Yuba,6115,57.08052364,2010
Boulder,8013,49.41913256,2010
Chaffee,8015,48.2439014,2010
Denver,8031,33.51988017,2010
Elmore,1051,51.16990816,2010
Etowah,1055,50.0202239,2010
Houston,1069,65.40377714,2010
Jackson,1071,51.39793295,2010
Madison,1089,56.27489233,2010
Marshall,1095,51.78875588,2010
Monroe,1099,57.49247871,2010
Pike,1109,57.76899271,2010
Russell,1113,53.55054532,2010
Shelby,1117,46.04651812,2010
Washington,1129,61.5256148,2010
Anchorage,2020,,2010
Hoonah-Angoon,2105,,2010
Matanuska-Susitna,2170,,2010
Northwest Arctic,2188,,2010
Wrangell,2275,,2010
Yukon-Koyukuk,2290,,2010
Graham,4009,51.11411398,2010
Pinal,4021,54.38277707,2010
Yavapai,4025,50.11766214,2010
Arkansas,5001,78.32098028,2010
Bradley,5011,61.36224968,2010
Calhoun,5013,57.87832936,2010
Desha,5041,77.25910336,2010
Faulkner,5045,57.73459972,2010
Sabine,22085,47.044704,2010
St. Martin,22099,78.8134791,2010
St. Mary,22101,74.68643456,2010
Tangipahoa,22105,62.01600459,2010
Terrebonne,22109,68.22254671,2010
Vernon,22115,52.7947448,2010
West Feliciana,22125,58.49799311,2010
Aroostook,23003,52.52822645,2010
Franklin,23007,46.22641179,2010
Lincoln,23015,47.66997397,2010
York,23031,49.92908571,2010
Baltimore,24005,42.93340322,2010
Cecil,24015,53.43454196,2010
Frederick,24021,57.33451184,2010
Montgomery,24031,43.03976019,2010
Somerset,24039,73.10338797,2010
Talbot,24041,62.32357127,2010
Bristol,25005,46.55321104,2010
Hampshire,25015,47.18293815,2010
Suffolk,25025,24.83241243,2010
Clare,26035,58.80817141,2010
Gogebic,26053,54.62797321,2010
Huron,26063,76.08076031,2010
Gunnison,8051,47.25614355,2010
Huerfano,8055,56.39019726,2010
Lake,8065,49.79849513,2010
Larimer,8069,51.37774465,2010
Montezuma,8083,49.97936137,2010
Park,8093,55.82891192,2010
Saguache,8109,52.05205238,2010
San Miguel,8113,47.05223512,2010
Summit,8117,46.4311554,2010
Fairfield,9001,34.19676433,2010
New London,9011,45.63613882,2010
Kent,10001,71.81075937,2010
Sussex,10005,65.43003427,2010
Alachua,12001,57.49998996,2010
Bradford,12007,59.68959536,2010
Calhoun,12013,62.73633994,2010
Citrus,12017,54.41311387,2010
Dixie,12029,67.23368579,2010
Escambia,12033,49.82872234,2010
Franklin,12037,76.76979572,2010
Hamilton,12047,60.87974683,2010
Hernando,12053,53.30317102,2010
Leon,12073,53.40552636,2010
Liberty,12077,68.77375711,2010
Madison,12079,65.00887361,2010
Marion,12083,53.38432364,2010
Nassau,12089,57.43082587,2010
Barrow,13013,50.04387567,2010
Brooks,13027,67.88235532,2010
Burke,13033,68.53192018,2010
Charlton,13049,68.79190191,2010
Columbia,13073,42.35036204,2010
Coweta,13077,47.62084874,2010
Crawford,13079,53.44915629,2010
Effingham,13103,65.18015623,2010
Emanuel,13107,62.62878622,2010
Fayette,13113,44.86127273,2010
Glynn,13127,60.03916195,2010
Greene,13133,46.90878072,2010
Habersham,13137,45.52224417,2010
Hancock,13141,47.66559889,2010
Henry,13151,43.63950241,2010
Jackson,13157,52.64846001,2010
Teton,30099,67.84813411,2010
Garden,31069,71.92641646,2010
Keya Paha,31103,70.0426112,2010
Loup,31115,70.19868804,2010
Pierce,31139,76.39314832,2010
Thomas,31171,70.01592152,2010
Eureka,32011,53.83221187,2010
Lander,32015,53.09342484,2010
Washoe,32031,49.77399773,2010
White Pine,32033,49.38107436,2010
Grafton,33009,44.11031612,2010
Atlantic,34001,55.98849568,2010
Burlington,34005,57.87534492,2010
